link,Tipe,title,category,address,open_hours,popular_times,website,phone,Column1,plus_code,review_count,review_rating,reviews_per_rating,latitude,longitude
https://www.google.com/maps/place/Teritori+-+Desain+Grafis+-+Website+-+Sablon+kaos+%26+Merchandise/data=!4m7!3m6!1s0x2e7a1190d617c0e9:0x97e40b092c81de60!8m2!3d-7.5207606!4d110.8238513!16s%2Fg%2F11rrnhqsp9!19sChIJ6cAX1pARei4RYN6BLAkL5Jc?authuser=0&hl=en&rclk=1,Desain Grafis,Teritori - Desain Grafis - Website - Sablon kaos & Merchandise,Web hosting company,"Perum Permata Wonorejo Safir No.112, Jetak, Wonorejo, Kec. Gondangrejo, Kabupaten Karanganyar, Jawa Tengah 57188",{},{},,0858-6777-1222,,,0,0.000000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":0}",-7.520761,110.823851
https://www.google.com/maps/place/LKP+Bintang+Ilmu/data=!4m7!3m6!1s0x2e7a1883ea9c208d:0xd5d1f6da2de6d5db!8m2!3d-7.593637!4d110.957195!16s%2Fg%2F1hm2qpg31!19sChIJjSCc6oMYei4R29XmLdr20dU?authuser=0&hl=en&rclk=1,Desain Grafis,LKP Bintang Ilmu,Educational institution,"Jl. Tentara Pelajar No.9 beji, Tegalasri, Bejen, Kec. Karanganyar, Kabupaten Karanganyar, Jawa Tengah 57716",{},{},https://lpkbintangilmu.wordpress.com/,0812-2626-9927,,"CX44+GV Bejen, Karanganyar Regency, Central Java",4,4.500000,"{""1"":0,""2"":0,""3"":1,""4"":0,""5"":3}",-7.593637,110.957195
https://www.google.com/maps/place/Phoenix+Jasa+Desain/data=!4m7!3m6!1s0x2e7a198e3cdb7587:0x3fe24badcf3816a8!8m2!3d-7.5833605!4d110.9602019!16s%2Fg%2F11s8zcfwpz!19sChIJh3XbPI4Zei4RqBY4z61L4j8?authuser=0&hl=en&rclk=1,Desain Grafis,Phoenix Jasa Desain,Graphic designer,"Perum BSB 2, Jl. Janoko III No.19 Blok H, Gaum, Kabupaten Karanganyar, Jawa Tengah 57722","{""Friday"":[""8.00 am–9.00 pm""],""Monday"":[""8.00 am–9.00 pm""],""Saturday"":[""8.00 am–9.00 pm""],""Sunday"":[""8.00 am–9.00 pm""],""Thursday"":[""8.00 am–9.00 pm""],""Tuesday"":[""8.00 am–9.00 pm""],""Wednesday"":[""8.00 am–9.00 pm""]}",{},,0857-1357-7573,,"CX86+M3 Gaum, Karanganyar Regency, Central Java",40,5.000000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":40}",-7.583360,110.960202
https://www.google.com/maps/place/Y%26B+GRAFIS+%26+VECTOR/data=!4m7!3m6!1s0x2e7a114a596f3aaf:0xc5f547bffff88ecf!8m2!3d-7.5239581!4d110.8297195!16s%2Fg%2F11c61sy6jd!19sChIJrzpvWUoRei4Rz474_79H9cU?authuser=0&hl=en&rclk=1,Desain Grafis,Y&B GRAFIS & VECTOR,Graphic designer,"Jl. Rambutan 2 perum No.39, Watuburik, Wonorejo, indah, Kabupaten Karanganyar, Jawa Tengah 57188","{""Friday"":[""9.00 am–9.00 pm""],""Monday"":[""9.00 am–9.00 pm""],""Saturday"":[""9.00 am–12.00 pm""],""Sunday"":[""Closed""],""Thursday"":[""9.00 am–9.00 pm""],""Tuesday"":[""9.00 am–9.00 pm""],""Wednesday"":[""9.00 am–9.00 pm""]}",{},,0852-9060-9004,,"FRGH+CV Wonorejo, Karanganyar Regency, Central Java",24,4.800000,"{""1"":1,""2"":0,""3"":0,""4"":2,""5"":21}",-7.523958,110.829719
https://www.google.com/maps/place/SWN+CREATIVE/data=!4m7!3m6!1s0x2e7a19863f9b11dd:0x6f68480a96fd57e!8m2!3d-7.6020015!4d110.9502629!16s%2Fg%2F11hyv307rf!19sChIJ3RGbP4YZei4RftVvqYCE9gY?authuser=0&hl=en&rclk=1,Desain Grafis,SWN CREATIVE,Graphic designer,"9XX2+54R SWN CREATIVE, Karanganyar, Kec. Karanganyar, Kabupaten Karanganyar, Jawa Tengah 57714","{""Friday"":[""9.00 am–5.00 pm""],""Monday"":[""9.00 am–5.00 pm""],""Saturday"":[""9.00 am–5.00 pm""],""Sunday"":[""Closed""],""Thursday"":[""9.00 am–5.00 pm""],""Tuesday"":[""9.00 am–5.00 pm""],""Wednesday"":[""9.00 am–5.00 pm""]}",{},https://www.instagram.com/swncreative/?hl=id,0821-3374-3804,,,18,4.900000,"{""1"":0,""2"":0,""3"":0,""4"":1,""5"":17}",-7.602002,110.950263
https://www.google.com/maps/place/Desain+Grafis+Incorporation/data=!4m7!3m6!1s0x2e7a23216d106445:0xcb70c2b71d1ee487!8m2!3d-7.6091902!4d110.9530194!16s%2Fg%2F11s8lfn7_r!19sChIJRWQQbSEjei4Rh-QeHbfCcMs?authuser=0&hl=en&rclk=1,Desain Grafis,Desain Grafis Incorporation,Design agency,"Banaran, Jantiharjo, Kec. Karanganyar, Kabupaten Karanganyar, Jawa Tengah","{""Friday"":[""Open 24 hours""],""Monday"":[""Open 24 hours""],""Saturday"":[""Open 24 hours""],""Sunday"":[""Open 24 hours""],""Thursday"":[""Open 24 hours""],""Tuesday"":[""Open 24 hours""],""Wednesday"":[""Open 24 hours""]}","{""Friday"":{""0"":33,""1"":33,""10"":55,""11"":61,""12"":83,""13"":83,""14"":100,""15"":88,""16"":72,""17"":44,""18"":38,""19"":44,""2"":33,""20"":55,""21"":44,""22"":44,""23"":33,""3"":38,""4"":38,""5"":55,""6"":55,""7"":50,""8"":38,""9"":44},""Monday"":{""0"":22,""1"":16,""10"":44,""11"":33,""12"":27,""13"":33,""14"":22,""15"":16,""16"":16,""17"":16,""18"":22,""19"":22,""2"":22,""20"":33,""21"":38,""22"":44,""23"":38,""3"":27,""4"":27,""5"":33,""6"":33,""7"":55,""8"":66,""9"":72},""Saturday"":{""0"":50,""1"":27,""10"":33,""11"":33,""12"":38,""13"":22,""14"":22,""15"":27,""16"":44,""17"":44,""18"":55,""19"":44,""2"":22,""20"":55,""21"":55,""22"":66,""23"":61,""3"":27,""4"":27,""5"":16,""6"":11,""7"":5,""8"":16,""9"":27},""Sunday"":{""0"":27,""1"":50,""10"":44,""11"":38,""12"":27,""13"":16,""14"":11,""15"":5,""16"":11,""17"":22,""18"":44,""19"":72,""2"":77,""20"":88,""21"":94,""22"":66,""23"":38,""3"":88,""4"":61,""5"":44,""6"":33,""7"":50,""8"":55,""9"":66},""Thursday"":{""0"":38,""1"":38,""10"":44,""11"":44,""12"":33,""13"":27,""14"":38,""15"":33,""16"":22,""17"":11,""18"":5,""19"":5,""2"":33,""20"":5,""21"":11,""22"":16,""23"":27,""3"":44,""4"":61,""5"":66,""6"":50,""7"":27,""8"":33,""9"":38},""Tuesday"":{""0"":16,""1"":33,""10"":27,""11"":38,""12"":33,""13"":27,""14"":27,""15"":44,""16"":66,""17"":77,""18"":50,""19"":33,""2"":22,""20"":22,""21"":33,""22"":22,""23"":16,""3"":38,""4"":44,""5"":50,""6"":33,""7"":33,""8"":27,""9"":27},""Wednesday"":{""0"":44,""1"":50,""10"":44,""11"":27,""12"":22,""13"":33,""14"":44,""15"":77,""16"":61,""17"":77,""18"":61,""19"":44,""2"":44,""20"":16,""21"":11,""22"":22,""23"":50,""3"":50,""4"":33,""5"":27,""6"":22,""7"":27,""8"":38,""9"":55}}",https://www.instagram.com/desaingrafis.inc/,0858-2637-7499,,"9XR3+86 Jantiharjo, Karanganyar Regency, Central Java",0,0.000000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":0}",-7.609190,110.953019
"https://www.google.com/maps/place/Artha+Creative+,+Desain+Grafis+Dan+Percetakan+Digital+Kabupaten+Sukoharjo/data=!4m7!3m6!1s0x2e7a173197f34095:0xf659f3e9f7a79071!8m2!3d-7.6097382!4d110.9036211!16s%2Fg%2F11gtddxlxm!19sChIJlUDzlzEXei4RcZCn9-nzWfY?authuser=0&hl=en&rclk=1",Desain Grafis,"Artha Creative , Desain Grafis Dan Percetakan Digital Kabupaten Sukoharjo",Store,"Sumuran Wetan, RT.03/RW.05, Dk. Sumuran Wetan, Kragilan, Kec. Mojolaban, Kabupaten Sukoharjo, Jawa Tengah 57554","{""Friday"":[""8.00 am–4.00 pm""],""Monday"":[""8.00 am–4.00 pm""],""Saturday"":[""Closed""],""Sunday"":[""Closed""],""Thursday"":[""8.00 am–4.00 pm""],""Tuesday"":[""8.00 am–4.00 pm""],""Wednesday"":[""8.00 am–4.00 pm""]}",{},,0899-5301-696,,"9WR3+4C Kragilan, Sukoharjo Regency, Central Java",15,4.900000,"{""1"":0,""2"":0,""3"":0,""4"":2,""5"":13}",-7.609738,110.903621
https://www.google.com/maps/place/S15+Reka+Media/data=!4m7!3m6!1s0x2e7a195e5a493447:0x55ecea856d5b719e!8m2!3d-7.6001934!4d110.9499553!16s%2Fg%2F11nnsgzcnw!19sChIJRzRJWl4Zei4RnnFbbYXq7FU?authuser=0&hl=en&rclk=1,Desain Grafis,S15 Reka Media,Digital printing service,"Jl. Mayjen Yudomo SHD No.15, Karanganyar, Karangrejo, Karanganyar, Karanganyar Regency, Central Java 57711","{""Friday"":[""9.00 am–5.00 pm""],""Monday"":[""9.00 am–5.00 pm""],""Saturday"":[""9.00 am–5.00 pm""],""Sunday"":[""Closed""],""Thursday"":[""9.00 am–5.00 pm""],""Tuesday"":[""9.00 am–5.00 pm""],""Wednesday"":[""9.00 am–5.00 pm""]}",{},https://www.instagram.com/s15rekamedia/,0817-9417-881,,"9WXX+WX Karanganyar, Karanganyar Regency, Central Java",30,4.900000,"{""1"":0,""2"":0,""3"":0,""4"":2,""5"":28}",-7.600193,110.949955
https://www.google.com/maps/place/Arikreg+Design+Studio/data=!4m7!3m6!1s0x2e7a170e2ead95d3:0x5ba4a546fbfc927b!8m2!3d-7.5565411!4d110.8707776!16s%2Fg%2F11g8w8b86y!19sChIJ05WtLg4Xei4Re5L8-0alpFs?authuser=0&hl=en&rclk=1,Desain Grafis,Arikreg Design Studio,Graphic designer,"Jl. Manggis 10 Perumnas No.178, Benowo, Ngringo, Jaten, Karanganyar Regency, Central Java 57731","{""Friday"":[""8.00 am–4.00 pm""],""Monday"":[""8.00 am–4.00 pm""],""Saturday"":[""8.00 am–4.00 pm""],""Sunday"":[""Closed""],""Thursday"":[""8.00 am–4.00 pm""],""Tuesday"":[""8.00 am–4.00 pm""],""Wednesday"":[""8.00 am–4.00 pm""]}",{},,0878-7529-5587,,"CVVC+98 Ngringo, Karanganyar Regency, Central Java",8,4.800000,"{""1"":0,""2"":0,""3"":1,""4"":0,""5"":7}",-7.556541,110.870778
https://www.google.com/maps/place/Noer+Desain+Grafis+%26+Cetak/data=!4m7!3m6!1s0x2e7a11416ad578ab:0xbd33b80e4ce54cbf!8m2!3d-7.5101485!4d110.8269806!16s%2Fg%2F11crzdywwq!19sChIJq3jVakERei4Rv0zlTA64M70?authuser=0&hl=en&rclk=1,Desain Grafis,Noer Desain Grafis & Cetak,Invitation printing service,"FRQG+WQX Noer Desain Grafis & Cetak, Pretek, Jatikuwung, Kec. Gondangrejo, Kabupaten Karanganyar, Jawa Tengah 57188","{""Friday"":[""8.00 am–7.00 pm""],""Monday"":[""8.00 am–7.00 pm""],""Saturday"":[""8.00 am–7.00 pm""],""Sunday"":[""Closed""],""Thursday"":[""8.00 am–7.00 pm""],""Tuesday"":[""8.00 am–7.00 pm""],""Wednesday"":[""8.00 am–7.00 pm""]}",{},,0857-4750-6025,,,3,4.700000,"{""1"":0,""2"":0,""3"":0,""4"":1,""5"":2}",-7.510148,110.826981
